organization_id,script_id,lineage_id,version,name,discipline,theme,phase,day_of_week,total_minutes,contact_structure,target_group,prerequisite_note,reset_protocol,coach_priorities,frequent_phrases,authoring_state,source_document,created_by_account_id
{{PPBF_ORG_ID}},scr_0d0c3b6389e8d1,scr_0d0c3b6389e8d1,1,"Wednesday — Perception, Decision, Composure, Execution",boxing,Perception -> Decision -> Composure -> Execution,,Wednesday,120,split_non_contact_then_contact,"Mixed room; non-contact hour open to all, contact hour for cleared athletes",Contact segment requires coach-approved contact status,"Say: ""Freeze."" Then: bring athletes back to stance; explain drill in one sentence; demonstrate one rep; restart slower.",Safety · Control of room · Correct movement · Decision making · Intensity last,“Slow down” · “See first” · “Stay balanced” · “Small movement” · “Head first” · “Read it first” · “Defense before offense” · “Reset” · “Do it clean”,coach_reviewed,Wed Full explanation level 2 (PPBF),{{SEED_ACCOUNT_ID}}
{{PPBF_ORG_ID}},scr_6db2b8c6917dc0,scr_6db2b8c6917dc0,1,Friday — Sparring Block,boxing,Defense · Footwork · Footwork Bag,,Friday,120,contact,Contact-cleared athletes; non-contact athletes work independently in parallel,Coach approval required for sparring participation,"Say: ""Freeze."" Then: bring athletes back to stance; explain drill in one sentence; demonstrate one rep; restart slower.",Safety · Control of room · Correct movement · Decision making · Intensity last,,coach_reviewed,Friday Sparring Coach Sheet (PPBF),{{SEED_ACCOUNT_ID}}
{{PPBF_ORG_ID}},scr_e2ed38b1a19670,scr_e2ed38b1a19670,1,Week 2 Monday — Distance Control & Jab System,boxing,Distance Control & Jab System,Accumulation,Monday,120,split_non_contact_then_contact,,,"Say: ""Freeze."" Then: bring athletes back to stance; explain drill in one sentence; demonstrate one rep; restart slower.",Safety · Control of room · Correct movement · Decision making · Intensity last,,coach_reviewed,Week_2_Monday V1-V4 (PPBF),{{SEED_ACCOUNT_ID}}
